#grid point     	c_iterations    	c_convergence   	elem_conserved  	P (bar)         	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	e-   	Al   	Ar   	C    	Ca   	Cl   	Co   	Cr   	Cu   	F    	Fe   	Ge   	H    	He   	K    	Mg   	Mn   	N    	Na   	Ne   	Ni   	O    	P    	S    	Si   	Ti   	V    	Zn   
69              	6               	ok              	ok              	8.4317000000e+00	1.1732000000e+03	9.6637066461e+19	5.2054630561e+19	2.3363928226e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70              	6               	ok              	ok              	9.8555000000e+00	1.2216000000e+03	1.0847716204e+20	5.8434040224e+19	2.3363284305e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71              	6               	ok              	ok              	1.1520000000e+01	1.2689000000e+03	1.2206772815e+20	6.5756904198e+19	2.3362590541e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72              	6               	ok              	ok              	1.3465000000e+01	1.3144000000e+03	1.3773380080e+20	7.4198492928e+19	2.3361834451e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73              	6               	ok              	ok              	1.5739000000e+01	1.3585000000e+03	1.5576297210e+20	8.3913873653e+19	2.3361027994e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74              	5               	ok              	ok              	1.8397000000e+01	1.4023000000e+03	1.7637493875e+20	9.5021602701e+19	2.3360171245e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75              	6               	ok              	ok              	2.1504000000e+01	1.4467000000e+03	1.9982723143e+20	1.0766066223e+20	2.3359262025e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76              	6               	ok              	ok              	2.5135000000e+01	1.4928000000e+03	2.2634605562e+20	1.2195329536e+20	2.3358281326e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77              	7               	ok              	ok              	2.9380000000e+01	1.5416000000e+03	2.5618624986e+20	1.3803727165e+20	2.3357208831e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78              	7               	ok              	ok              	3.4341000000e+01	1.5931000000e+03	2.8975070194e+20	1.5612993426e+20	2.3356072421e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79              	8               	ok              	ok              	4.0140000000e+01	1.6472000000e+03	3.2753970672e+20	1.7650105737e+20	2.3354906820e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
80              	8               	ok              	ok              	4.6919000000e+01	1.7055000000e+03	3.6974883830e+20	1.9925686839e+20	2.3353663202e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
81              	8               	ok              	ok              	5.4842000000e+01	1.7709000000e+03	4.1620044514e+20	2.2430322788e+20	2.3352238224e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82              	8               	ok              	ok              	6.4104000000e+01	1.8451000000e+03	4.6689347695e+20	2.5164105531e+20	2.3350587092e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83              	8               	ok              	ok              	7.4929000000e+01	1.9216000000e+03	5.2397341680e+20	2.8242505593e+20	2.3348959196e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84              	8               	ok              	ok              	8.7582000000e+01	2.0005000000e+03	5.8825698524e+20	3.1709732591e+20	2.3347264766e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
85              	8               	ok              	ok              	1.0237000000e+02	2.0818000000e+03	6.6067735149e+20	3.5616396382e+20	2.3345379480e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86              	8               	ok              	ok              	1.1966000000e+02	2.1653000000e+03	7.4241237706e+20	4.0026461604e+20	2.3343152024e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
87              	7               	ok              	ok              	1.3987000000e+02	2.2512000000e+03	8.3458996445e+20	4.5001477381e+20	2.3340377749e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88              	7               	ok              	ok              	1.6349000000e+02	2.3394000000e+03	9.3860601553e+20	5.0617767330e+20	2.3336828936e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
89              	7               	ok              	ok              	1.9110000000e+02	2.4296000000e+03	1.0561790138e+21	5.6969470781e+20	2.3332261918e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90              	7               	ok              	ok              	2.2337000000e+02	2.5219000000e+03	1.1890473579e+21	6.4152451867e+20	2.3326382151e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
