#grid point	p_iterations	c_iterations	p_convergence   	c_convergence   	P (bar)         	T(k)            	n_<H> (cm-3)    	n_g (cm-3)      	m(u)            	e-   	Al   	Ar   	C    	Ca   	Cl   	Co   	Cr   	Cu   	F    	Fe   	Ge   	H    	He   	K    	Mg   	Mn   	N    	Na   	Ne   	Ni   	O    	P    	S    	Si   	Ti   	V    	Zn   
40        	1         	3         	ok              	ok              	8.4951300000e-08	1.5704140000e+03	6.2987328059e+11	3.9180696127e+11	2.1975276483e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	1         	3         	ok              	ok              	6.5138370000e-08	1.5654870000e+03	4.8220922124e+11	3.0137255369e+11	2.1871830056e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	1         	3         	ok              	ok              	4.9946350000e-08	1.5605590000e+03	3.6904620473e+11	2.3181409585e+11	2.1761769837e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	1         	3         	ok              	ok              	4.0536450000e-08	1.5531220000e+03	3.0051932230e+11	1.8904117929e+11	2.1730478655e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	1         	3         	ok              	ok              	3.3533320000e-08	1.5506720000e+03	2.4781986257e+11	1.5662925608e+11	2.1628008729e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	1         	3         	ok              	ok              	2.8269250000e-08	1.5457210000e+03	2.0913357905e+11	1.3246448527e+11	2.1581301062e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	1         	3         	ok              	ok              	2.3385420000e-08	1.5432710000e+03	1.7239121456e+11	1.0975372168e+11	2.1470847295e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	1         	3         	ok              	ok              	1.6937710000e-08	1.5333650000e+03	1.2518209000e+11	8.0006527957e+10	2.1387995491e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	1         	3         	ok              	ok              	1.3488470000e-08	1.5259330000e+03	9.9942662520e+10	6.4024102926e+10	2.1338344505e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	1         	3         	ok              	ok              	1.1157480000e-08	1.5209870000e+03	8.2676196041e+10	5.3132089050e+10	2.1270461069e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50        	1         	3         	ok              	ok              	9.0554080000e-09	1.5135490000e+03	6.7329401043e+10	4.3333903724e+10	2.1238813256e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51        	1         	3         	ok              	ok              	7.9289200000e-09	1.5085900000e+03	5.9107167631e+10	3.8067914775e+10	2.1224348588e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52        	1         	3         	ok              	ok              	7.2113370000e-09	1.5061170000e+03	5.3759393526e+10	3.4679542365e+10	2.1190163723e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53        	1         	3         	ok              	ok              	6.3142510000e-09	1.5011570000e+03	4.7196915526e+10	3.0465759044e+10	2.1176536128e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
54        	1         	3         	ok              	ok              	5.5284120000e-09	1.4937010000e+03	4.1616892140e+10	2.6807295780e+10	2.1221200476e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55        	1         	3         	ok              	ok              	4.6602660000e-09	1.4862550000e+03	3.5273825942e+10	2.2710863888e+10	2.1231086635e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56        	1         	3         	ok              	ok              	3.7110010000e-09	1.4763270000e+03	2.8298636789e+10	1.8206429587e+10	2.1246824891e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57        	1         	3         	ok              	ok              	3.2493550000e-09	1.4713670000e+03	2.4851487737e+10	1.5995301374e+10	2.1237983308e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58        	1         	3         	ok              	ok              	2.4441070000e-09	1.4564600000e+03	1.8958783746e+10	1.2154523288e+10	2.1321897543e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59        	1         	3         	ok              	ok              	1.9833870000e-09	1.4440320000e+03	1.5588534038e+10	9.9482552990e+09	2.1419615129e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60        	1         	3         	ok              	ok              	1.5791850000e-09	1.4291110000e+03	1.2621128971e+10	8.0035622118e+09	2.1556000698e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
61        	1         	3         	ok              	ok              	1.2574360000e-09	1.4166870000e+03	1.0176466760e+10	6.4287754731e+09	2.1638246784e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62        	1         	3         	ok              	ok              	9.8231310000e-10	1.3992760000e+03	8.1115638596e+09	5.0846706484e+09	2.1806957319e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63        	1         	3         	ok              	ok              	7.8202510000e-10	1.3793640000e+03	6.6161307677e+09	4.1063700361e+09	2.2024157677e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
64        	1         	4         	ok              	ok              	6.8461200000e-10	1.3669170000e+03	5.8794531480e+09	3.6275937038e+09	2.2154992315e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65        	1         	4         	ok              	ok              	5.5545570000e-10	1.3470000000e+03	4.8828644842e+09	2.9867447502e+09	2.2347547629e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66        	1         	4         	ok              	ok              	4.8620390000e-10	1.3295620000e+03	4.3630200475e+09	2.6486594394e+09	2.2517200596e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67        	1         	4         	ok              	ok              	4.0202920000e-10	1.3096410000e+03	3.6874415736e+09	2.2234205324e+09	2.2670277964e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68        	1         	4         	ok              	ok              	3.5190590000e-10	1.2922020000e+03	3.2891977373e+09	1.9724791275e+09	2.2794542275e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
69        	1         	3         	ok              	ok              	3.0222760000e-10	1.2722720000e+03	2.8840415300e+09	1.7205624082e+09	2.2913128464e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70        	1         	3         	ok              	ok              	2.6453040000e-10	1.2523370000e+03	2.5756614596e+09	1.5299268048e+09	2.3012904558e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71        	1         	3         	ok              	ok              	2.3598200000e-10	1.2348940000e+03	2.3373217246e+09	1.3840936430e+09	2.3083748431e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72        	1         	4         	ok              	ok              	2.1457100000e-10	1.2224370000e+03	2.1507053387e+09	1.2713373783e+09	2.3124556198e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
